               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.035079,            0.012059,           0.0018471,              0.4827,             0.72592,             0.46164,             0.25122,             0.02913,            0.013195,           0.0014758,            0.008845,            0.008845,            0.008845
                  37,            0.034911,            0.011782,           0.0017881,             0.49992,             0.72055,             0.47305,             0.26845,            0.026706,            0.013056,           0.0014781,            0.008812,            0.008812,            0.008812
                  38,            0.034836,            0.011919,           0.0016484,             0.47512,             0.73901,             0.46417,              0.2517,            0.028093,            0.013013,           0.0014145,            0.008779,            0.008779,            0.008779
                  39,            0.034685,            0.011572,           0.0016465,              0.4827,              0.7585,             0.47237,             0.25385,            0.026917,            0.013486,           0.0013383,            0.008746,            0.008746,            0.008746
                  40,            0.034867,            0.011738,            0.001554,             0.49455,             0.75862,             0.47408,             0.26696,            0.026883,            0.013441,           0.0013395,            0.008713,            0.008713,            0.008713
                  41,            0.033485,            0.011594,           0.0016241,             0.48777,             0.76591,             0.47784,             0.26686,            0.026988,            0.013438,           0.0014448,             0.00868,             0.00868,             0.00868
                  42,            0.033169,            0.011646,           0.0016456,             0.49491,             0.74863,             0.47341,             0.27399,            0.026002,            0.013362,           0.0014028,            0.008647,            0.008647,            0.008647
                  43,            0.034026,            0.011361,           0.0015635,             0.49555,             0.77695,             0.47795,             0.26778,            0.026693,            0.013236,           0.0013681,            0.008614,            0.008614,            0.008614
                  44,            0.033906,            0.011609,           0.0015299,             0.51179,             0.73088,             0.47453,             0.27109,            0.025256,             0.01317,           0.0014088,            0.008581,            0.008581,            0.008581
                  45,            0.033934,            0.011723,           0.0016551,             0.49763,             0.77034,             0.47844,             0.27746,             0.02587,            0.012986,           0.0013804,            0.008548,            0.008548,            0.008548
                  46,            0.031857,            0.011849,           0.0014982,             0.47706,             0.78057,             0.47332,             0.27947,            0.024754,             0.01321,           0.0013816,            0.008515,            0.008515,            0.008515
                  47,            0.032187,            0.011617,           0.0014643,             0.47228,             0.77234,             0.46587,             0.26903,            0.025649,            0.012932,           0.0012662,            0.008482,            0.008482,            0.008482
                  48,            0.032223,            0.011706,            0.001486,             0.50171,             0.74588,             0.48163,             0.27405,            0.024916,            0.013161,           0.0013113,            0.008449,            0.008449,            0.008449
                  49,            0.032729,            0.011389,           0.0016783,             0.48137,             0.77971,             0.47395,             0.27097,             0.02548,            0.013145,           0.0013332,            0.008416,            0.008416,            0.008416
                  50,            0.032837,            0.011295,            0.001743,             0.49192,             0.78528,             0.47767,             0.26673,            0.026313,            0.013137,           0.0013433,            0.008383,            0.008383,            0.008383
                  51,            0.032769,            0.011705,           0.0016123,             0.48784,             0.77505,             0.46945,             0.28408,            0.023705,            0.013072,           0.0014926,             0.00835,             0.00835,             0.00835
                  52,            0.032142,            0.011235,           0.0015064,             0.49143,             0.78196,             0.46465,             0.27238,            0.024856,            0.013125,           0.0013058,            0.008317,            0.008317,            0.008317
                  53,            0.030922,            0.011982,           0.0014679,             0.48354,             0.78359,             0.46638,             0.27136,             0.02452,            0.013061,            0.001291,            0.008284,            0.008284,            0.008284
                  54,            0.031786,            0.011566,           0.0014721,             0.48626,             0.81904,             0.48293,             0.28304,            0.024314,            0.013011,           0.0012618,            0.008251,            0.008251,            0.008251
                  55,            0.031026,            0.011476,            0.001305,             0.50079,             0.78152,             0.48538,             0.29185,            0.022477,            0.013096,           0.0012394,            0.008218,            0.008218,            0.008218
